PREREQUISITE	TARGET
NETWORK	METROPOLITAN AREA NETWORK
MESSAGE	HOP COUNT
FOUR-LEVEL HIERARCHY	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
MESSAGE	PUBLIC-KEY ENCRYPTION
ETHERNET	CARRIER SENSE
NETWORKING SYSTEM	ETHERNET NETWORK
STANDARD	ETHERNET
NETWORK	MALICIOUS SOFTWARE
MESSAGE	COLLISION AVOIDANCE
DOMAIN	REGISTRAR
PHONE NETWORK	1G
INTERNET SERVICE PROVIDER	TIER-1 INTERNET SERVICE PROVIDER
ACCESS INTERNET SERVICE PROVIDER	NAME SERVER
FORWARD PROCESS	HOP COUNT
STAR NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE
NETWORK	WORM
PREVENTATIVE TOOL	PROXY SERVER
ACTIVE SERVER PAGE	ASP
EMAIL MESSAGE	SPAM
MACHINE	DISTRIBUTED SYSTEM
ETHERNET	SWITCH
COMPUTER	BUS
NETWORK PROTOCOL	DOMAIN NAME SYSTEM
COMPUTER	HUB
MASS STORAGE	FILE SERVER
SEMANTIC-ORIENTED TAG	WORLD WIDE SEMANTIC WEB
DECRYPT	PRIVATE-KEY
SOFTWARE	GLOBAL INFORMATION RETRIEVAL SYSTEM
SMARTPHONES	4G
BUS	SHORT BUS
EMAIL	INTERNET MAIL ACCESS PROTOCOL
SERVER	MAIL SERVER
STANDARD	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
PEER-TO-PEER MODEL	VOICE OVER INTERNET PROTOCOL
SPYWARE	SNIFFING SOFTWARE
MACHINE	CENTRAL MACHINE
MESSAGE	PROXY SERVER
INTERNET PROTOCOL	INTERNET PROTOCOL VERSION FOUR
INTERNET	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK
CLIENT	APPLICATION LAYER
COMPUTER	4G
INTERNET	INTERNET SOFTWARE
PUBLIC-KEY ENCRYPTION SYSTEM	PRIVATE-KEY
COMPUTER	STAR NETWORK
SERVER SIDE	INTERNET PROTOCOL
TEXT MESSAGING	SECOND GENERATION
DEVICE	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE
INTERNET	FILE TRANSFER PROTOCOL
MACHINE	PROTOCOL
ROUTER	TIER-2 INTERNET SERVICE PROVIDER
DECRYPT	DIGITAL SIGNATURE
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK	VOICE OVER INTERNET PROTOCOL
EXTENSIBLE MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE
MESSAGE	INSTANT MESSAGING
ATTACK	DENIAL OF SERVICE ATTACK
COMBINE NETWORK	SWITCH
FILE TRANSFER PROTOCOL	PROXY SERVER
LINKEDDOCUMENTS	HYPERTEXT
PROGRAM	VIRUS
ACCESS INTERNET SERVICE PROVIDER	HOST
COMPUTER	WEBSERVER
NETWORK	CLUSTER COMPUTE
NOTATIONAL SYSTEM	EXTENSIBLE MARKUP LANGUAGE
NETWORK	COLLISION AVOIDANCE
HYPERTEXT MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE
NETWORK CLASSIFICATIONS	PERSONAL AREA NETWORK
VOICE OVER INTERNET PROTOCOL	SKYPE
CLIENT/SERVER MODEL	CLIENT
CLIENT	SERVER-SIDE ACTIVITY
APPLICATION	NEWSREADER APPLICATION
INTERNET	TRANSPORT LAYER
CLUSTER COMPUTE	GRID COMPUTE
ADDRESS	INTERNET PROTOCOL ADDRESS
WORLD WIDE WEB	WORLD WIDE SEMANTIC WEB
SNIFF	PHISHING
INTERNET INFRASTRUCTURE	VOICE OVER INTERNET PROTOCOL
PROTOCOL	WORLD WIDE WEB
DEVICE	END SYSTEM
WEBSERVER	JAVASERVER PAGE
NETWORK	PHONE NETWORK
ETHERNET NETWORK	CARRIER SENSE
TECHNOLOGY	WIFI TECHNOLOGY
WEBPAGE	HEAD
MESSAGE	SWITCH
HYPERTEXT	BROWSER
HYPERTEXT TRANSFER PROTOCOL	HTTPS
DISTRIBUTED SYSTEM	DISTRIBUTED COMPUTE SYSTEM
INTERNET	INTERNET MAIL ACCESS PROTOCOL
TRANSPORT LAYER	LINK LAYER
HYPERTEXT TRANSFER PROTOCOL	UNIFORM RESOURCE LOCATOR
SERVER	WEBSERVERS
TECHNOLOGY	DIGITAL TECHNOLOGY
PROXY SERVER	FILE TRANSFER PROTOCOL PROXY SERVER
THEFT OF INFORMATION	COMPUTER FRAUD AND ABUSE ACT
MASS STORAGE	POST OFFICE PROTOCOL VERSION 3
MAIL SERVER	TRANSMISSION CONTROL PROTOCOL
TRANSPORT LAYER	PACKET
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	INTERNET
ROUTER	HOP COUNT
STREAMING	CONTENT DELIVERY NETWORK
CLIENT/SERVER MODEL	CLIENT-SIDE ACTIVITY
SYSTEM	PEER-TO-PEER MODEL
EMAIL	POST OFFICE PROTOCOL VERSION 3
COMPUTER	BOTNET
PHONE TECHNOLOGY	SECOND GENERATION
HYPERTEXT TRANSFER PROTOCOL SERVER	PORT NUMBER
USER DATAGRAM PROTOCOL	CONNECTIONLESS PROTOCOL
STAR NETWORK	CARRIER SENSE
PROGRAM	FIREWALL
NETWORK	COMPUTER NETWORK
PROTOCOL	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL SYSTEM
SECURE SHELL	APPLICATION LAYER
ALGORITHM	GRID COMPUTE
PROCESS	DENIAL OF SERVICE
PUBLIC-KEY ENCRYPTION SYSTEM	PUBLIC-KEY
BROWSER	UNIFORM RESOURCE LOCATOR
PACKET RETRANSMISSION	UNRELIABLE PROTOCOL
COMPUTER	CLIENT
ACCESS POINT	GATEWAY
INTERNET	IPV6
PEER-TO-PEER MODEL	INSTANT MESSAGING
NETWORK	SWITCH
SOFTWARE	NETWORK LAYER
PROTOCOL	RELIABLE PROTOCOL
PROTOCOL	PHONE NETWORK
VOICE OVER INTERNET PROTOCOL	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE
INTERNET	INTRANET
STAR	WIRELESS
ACCESS INTERNET SERVICE PROVIDER	ANALOG TELEPHONE ADAPTER
SOFTWARE	LINK LAYER
SOFTWARE	ANTIVIRUS SOFTWARE
VIRUS	FILE TRANSFER PROTOCOL PROXY SERVER
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	LINK LAYER
HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	JAVASCRIPT
SERVER-SIDE ACTIVITY	JAVASERVER PAGE
NETWORK	ENCRYPTION
MAIL SERVER	REMOTE SERVER
DOMAIN NAME	ANTICYBERSQUATTING CONSUMER PROTECTION ACT
SERVER SIDE	SERVER-SIDE ACTIVITY
DOCUMENT	HOME PAGE
INTERNET	ADDRESS
WIDE AREA NETWORK	TIER-1 INTERNET SERVICE PROVIDER
MACHINE	FILE SERVER
BUS NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION
STAR	STAR NETWORK
SIMPLE MAIL TRANSFER PROTOCOL	INTERNET MAIL ACCESS PROTOCOL
ROUTER	LINK LAYER
HYPERTEXT	HYPERTEXT TRANSFER PROTOCOL SERVER
MAIL SERVER	SERVER-SIDE ACTIVITY
HYPERTEXT DOCUMENT	HYPERTEXT TRANSFER PROTOCOL
ADDRESS	FORWARDING TABLE
SYSTEM	OPEN SYSTEM
COMPUTER	BROWSER
EXTENSIBLE MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE STANDARD
INTERNET	INTERNET ACCESS
INTERNET	BROWSER
NETWORK	SERVER
INTERNET	APPLICATION LAYER
INTERNET SOFTWARE	LINK LAYER
ETHERNET	REPEATER
NETWORK	PEER-TO-PEER MODEL
PROGRAM	JAVASCRIPT
LAYER	NETWORK LAYER
CLIENT	BROWSER
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	BUSY CHANNEL
CENTRAL ACCESS POINT	HIDDEN TERMINAL PROBLEM
DOMAIN NAME SYSTEM	SIMPLE MAIL TRANSFER PROTOCOL
STAR NETWORK	CENTRAL ACCESS POINT
NETWORK LAYER	LINK LAYER
DOMAIN NAME	MNEMONIC DOMAIN NAME
ROUTER	FORWARD MESSAGE
OPEN NETWORK	INTERNET
BIT PATTERN	INTERNET PROTOCOL ADDRESS
ADDRESS	FIREWALL
INTERNET PROTOCOL NETWORK LAYER	HOP COUNT
PORT NUMBER	HYPERTEXT TRANSFER PROTOCOL SERVER
SYSTEM	VOICE OVER INTERNET PROTOCOL
BROWSER	TAG
COMMON GATEWAY INTERFACE	SERVLETS
WIRELESS NETWORK	ACCESS POINT
NETWORK	FIREWALL
NETWORK OF NETWORK	ROUTER
PROGRAM	APPLET
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	SILENT CHANNEL
INTERNET APPLICATIONS	VOICE OVER INTERNET PROTOCOL
SERVER	SECURE SOCKET LAYER
NETWORK LAYER	INTERNET PROTOCOL VERSION FOUR
COMBINE NETWORK	BRIDGE
CLIENT SIDE	CLIENT-SIDE ACTIVITY
CLIENT/SERVER MODEL	SWARM
BUS	ETHERNET
DOMAIN NAME SYSTEM	DOMAIN NAME SYSTEM LOOKUP
VIRUS	DENIAL OF SERVICE ATTACK
PROTOCOL	HYPERTEXT TRANSFER PROTOCOL
FORWARDING TABLE	NETWORK LAYER
CLIENT	HYPERTEXT TRANSFER PROTOCOL
ADDRESSING SYSTEM	INTERNET PROTOCOL VERSION FOUR
NETWORK PROTOCOL	POST OFFICE PROTOCOL VERSION 3
UNIQUE ADDRESS	" LOCAL " ADDRESS
WEBPAGE	WEBPAGE TEMPLATE
NETWORK	ADDRESS
BIT PATTERN	DIGITAL SIGNATURE
COMPUTER	CLUSTER COMPUTE
ETHERNET	BRIDGE
ENCRYPTION	PUBLIC-KEY
APPLICATION LAYER	TRANSMISSION CONTROL PROTOCOL
SIMPLE MAIL TRANSFER PROTOCOL	MULTIPURPOSE INTERNET MAIL EXTENSION
TOPOLOGY OF THE NETWORK	STAR
NETWORK	AUDITING SOFTWARE
COMPUTER	STAR
INTERNET	EMAIL MESSAGE
SPOOFING	CERTIFICATE AUTHORITY
PROTOCOL	PROTOCOL STANDARD
HYPERTEXT	HYPERTEXT MARKUP LANGUAGE
ANALOG NETWORK	LAST MILE PROBLEM
BUS NETWORK	MULTIPLE ACCESS WITH COLLISION DETECTION
MAIL SERVER	SENDING SERVER
MASS STORAGE	MAGNETIC DISK
WEBPAGE TEMPLATE	JAVASERVER PAGE
PHONE TECHNOLOGY	3G
UNIQUE ADDRESS	INTERNET ADDRESS
ROUTER	HOT SPOT
PRINTER	PRINT SERVER
INTERNET	MNEMONIC DOMAIN NAME
COMPUTER	PERSONAL AREA NETWORK
INTERNET TECHNOLOGY	WORLD WIDE WEB
ENCRYPTION	SECURE VERSION
INTERNET PROTOCOL ADDRESS	INTERNET SERVICE PROVIDER
LOCAL AREA NETWORK	INTERNET
INTERNET PROTOCOL	IPV4
INTERNET PROTOCOL	IPV6
NETWORK	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK
DEVICE	ANALOG TELEPHONE ADAPTER
NETWORK PROTOCOL	MULTIPURPOSE INTERNET MAIL EXTENSION
COLLISION DETECTION	HIDDEN TERMINAL PROBLEM
TRANSPORT LAYER	USER DATAGRAM PROTOCOL
COMPUTER	INTERNET
PACKET	LINK LAYER
DISTRIBUTED SYSTEM	GRID COMPUTE
PACKET	NETWORK LAYER
ADDRESSING SYSTEM	IPv4
PEER-TO-PEER MODEL	SWARM
FORWARD PROCESS	FORWARDING TABLE
ATTACK	SPOOFING
INTERNET	SECURE SHELL
ETHERNET NETWORK	ROUTER
DIGITAL TECHNOLOGY	DIGITAL CONNECTION
PROCESS	INTERPROCESS COMMUNICATION
WEBSITE	SEARCH ENGINE
PROTOCOL	COLLISION AVOIDANCE
COMPUTER	COMPUTER SYSTEM
PROPRIETARY SYSTEM	ACTIVE SERVER PAGE
INTERNET	VOICE OVER INTERNET PROTOCOL
PERSONAL AREA NETWORK	INTERNET
ADDRESS	APPLICATION LAYER
COMPUTER SYSTEM	NETWORK
DOMAIN	TOP-LEVEL DOMAINS
NETWORK CLASSIFICATIONS	METROPOLITAN AREA NETWORK
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	VOICE OVER INTERNET PROTOCOL
MALICIOUS SOFTWARE	PROXY SERVER
WEBPAGE	WEBSERVER
LOCAL MACHINE	POST OFFICE PROTOCOL VERSION 3
NETWORK	1G
PROTOCOL	SECURE SOCKET LAYER
INTERNET	GATEWAY
SYSTEM	DISTRIBUTED SYSTEM
NETWORK	DENIAL OF SERVICE
TEXT FILE	UNICODE
CERTIFICATE AUTHORITY	CERTIFICATE
SWITCH	BRIDGE
UNIFORM RESOURCE LOCATOR	HOME PAGE
NOTATIONAL SYSTEM	HYPERTEXT MARKUP LANGUAGE
TRANSMISSION CONTROL PROTOCOL	RELIABLE PROTOCOL
INTERNET PROTOCOL ADDRESS	NAME SERVER
SERVER	SERVER SIDE
ASCII	HYPERTEXT DOCUMENT
SERVER SIDE	SERVLETS
INTERNET APPLICATION	VOIP
PROPRIETARY SYSTEM	JAVASERVER PAGE
NETWORK	TOPOLOGY OF THE NETWORK
DEVICE	HOST
SPAM	SPAM FILTER
WORLD WIDE WEB	WORLD WIDE WEB CONSORTIUM
COMPUTER	TROJAN HORSE
INTERNET APPLICATION	NEWSREADER APPLICATION
INTERNET	INTERNET PROTOCOL ADDRESS
TEXT FILE	ASCII
NETWORK	TIER-1 INTERNET SERVICE PROVIDER
COMPUTER	DENIAL OF SERVICE ATTACK
MACHINE	VOICE OVER INTERNET PROTOCOL
PROTOCOL	UNIFORM RESOURCE LOCATOR
DENIAL OF SERVICE ATTACK	FIREWALL
WIRELESS TELEPHONE	3G
MACHINE	ACCESS POINT
INTERNET SERVICE PROVIDER	ACCESS INTERNET SERVICE PROVIDER
PROTOCOL	INTERNET PROTOCOL
NETWORK	STAR NETWORK
PORT NUMBER	SIMPLE MAIL TRANSFER PROTOCOL
INTERNET SOFTWARE	TRANSPORT LAYER
HYPERTEXT TRANSFER PROTOCOL OVER SECURE SOCKET LAYER	SECURE SOCKET LAYER
WEBSERVER	UNIFORM RESOURCE LOCATOR
VIRUS	WORM
HYPERTEXT	HYPERTEXT REFERENCE
INTRANET	PROXY SERVER
NETWORK SECURITY	SPAMMERS
INTERNET	ELECTRONIC COMMUNICATION
METROPOLITAN AREA NETWORK	INTERNET
SERVICE	ADDRESS TRANSLATION SERVICE
NETWORK PROTOCOL	INTERNET APPLICATION
COMPUTER	LOCAL AREA NETWORK
CLIENT	CERTIFICATE
MESSAGE	SPAM
SERVER SIDE	SERVLET
SERVER	CENTRAL SERVER
SERVER	SPYWARE
CARRIER SENSE	LINK LAYER
NETWORK	ANALOG NETWORK INFRASTRUCTURE
PROTOCOL	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION
NETWORK PROTOCOL	SECURE SHELL ( SSH ) PROTOCOL
SYSTEM	PUBLIC-KEY ENCRYPTION
BIT PATTERN	128-BIT ADDRESS
HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	ANCHOR
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	LINK LAYER
MAIL SERVER	SIMPLE MAIL TRANSFER PROTOCOL
NETWORK	WIFI NETWORK
SOFTWARE	BROWSER
MALICIOUS SOFTWARE	ANTIVIRUS SOFTWARE
STANDARD	COLLISION AVOIDANCE
CLIENT-SIDE ACTIVITY	JAVASCRIPT
SOFTWARE	DISTRIBUTED SYSTEM
PROPRIETARY SYSTEM	SERVLET
PEER-TO-PEER SOFTWARE	VOICE OVER INTERNET PROTOCOL
SERVER	HYPERTEXT TRANSFER PROTOCOL
TAG	SEMANTIC-ORIENTED TAG
EMAIL MESSAGE	TROJAN HORSE
SEMANTIC-ORIENTED TAG	SEARCH ENGINE
SEMANTICS	SEMANTIC-ORIENTED TAG
MALICIOUS SOFTWARE	MALWARE
CLIENT-SIDE ACTIVITY	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
ROUTER	NETWORK LAYER
APPLICATION	INTERNET APPLICATION
WORLD WIDE WEB	UNIFORM RESOURCE LOCATOR
INFORMATION	ENCODED INFORMATION
SPYWARE	PHISHING
PROCESS	DISTRIBUTED SYSTEM
IPV4	IPV6
SYSTEM	COMPUTER SYSTEM
CLIENT-SIDE ACTIVITY	APPLET
MESSAGE	SIMPLE MAIL TRANSFER PROTOCOL
SOFTWARE	PEER-TO-PEER SOFTWARE
DOMAIN	REGISTERED DOMAIN
MESSAGE	AUDITING SOFTWARE
DOMAIN NAME	DOMAIN NAME SPECULATION
MACHINE	BUS
DOMAIN	DOMAIN NAME
HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	HEAD
COMPUTER	BUS NETWORK
NETWORK	END SYSTEM
SERVER	NAME SERVER
ETHERNET NETWORK	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE
SOFTWARE	SOFTWARE PACKAGE
DOMAIN NAME	TOP-LEVEL DOMAINS
ETHERNET NETWORK	LINK LAYER
VOICE OVER INTERNET PROTOCOL	ANALOG TELEPHONE ADAPTER
LAYER	LINK LAYER
PROTOCOL	WIFI
FORWARD PROCESS	ADDRESSING SYSTEM
FIREWALL	AUDITING SOFTWARE
DENIAL OF SERVICE ATTACK	BOTNET
OPEN NETWORK	OPEN SYSTEM INTERCONNECTION
NAME SERVER	DOMAIN NAME SYSTEM
MACHINE	CONTENT DELIVERY NETWORK
PEER-TO-PEER MODEL	FILE SHARING
NETWORK	NETWORK SECURITY
TEXT FILE	HYPERTEXT DOCUMENT
FILE	FILE SERVER
MALICIOUS SOFTWARE	PHISHING
COLLISION AVOIDANCE	SILENT CHANNEL
SERVER	CLIENT/SERVER MODEL
INTERNET PROTOCOL ADDRESS	ADDRESS TRANSLATION SERVICE
NETWORK CLASSIFICATIONS	WIDE AREA NETWORK
WIFI NETWORK	INTERNET ACCESS
INFORMATION	UNIFORM RESOURCE LOCATOR
INTERNET	INTERNET TECHNOLOGY
INTERNET PROTOCOL NETWORK	4G
MALICIOUS SOFTWARE	SPYWARE
SOFTWARE	GRID COMPUTE
INSTANT MESSAGING	PEER-TO-PEER MODEL
NETWORK	NETWORK SOFTWARE
COMPUTER SYSTEM	MALICIOUS SOFTWARE
MESSAGE	APPLICATION LAYER
SOFTWARE	SNIFFING SOFTWARE
MESSAGE	HIDDEN TERMINAL PROBLEM
MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE
PROTOCOL STANDARD	COLLISION AVOIDANCE
PROXY SERVER	PREVENTATIVE TOOL
NETWORK LAYER	INTERNET PROTOCOL NETWORK LAYER
SOFTWARE PACKAGE	WEBSERVERS
INTERNET	DENIAL OF SERVICE ATTACK
MACHINE	VIRUS
MESSAGE	PRIVATE-KEY
SERVER	WEBSERVER
SYSTEM	END SYSTEM
EMAIL	ELECTRONIC MAIL SYSTEM
BUS NETWORK	ROUTER
TAG	UNIFORM RESOURCE LOCATOR
MULTICAST	IPV6
COLLISION AVOIDANCE	WIFI
PORT NUMBER	TRANSPORT LAYER
INTERNET PROTOCOL ADDRESS	SIMPLE MAIL TRANSFER PROTOCOL
NETWORK	WORLD WIDE WEB
PROGRAM	INTERNET APPLICATION
PRIVATE-KEY	DIGITAL SIGNATURE
TECHNOLOGY	INTERNET TECHNOLOGY
HYPERTEXT DOCUMENT	UNIFORM RESOURCE LOCATOR
SYSTEM	UNICODE
PROTOCOL	UNRELIABLE PROTOCOL
SOFTWARE	AUDITING SOFTWARE
NETWORK	CLOUD COMPUTING
ROUTER	TIER-1 INTERNET SERVICE PROVIDER
MACHINE	WIDE AREA NETWORK
MALICIOUS SOFTWARE	AUDITING SOFTWARE
TOP-LEVEL DOMAINS	COUNTRY-CODE TOP-LEVEL DOMAINS
COMPUTER	SUPERCOMPUTER
SYSTEM	AUDITING SOFTWARE
MNEMONIC ADDRESS	ADDRESS TRANSLATION SERVICE
TOPOLOGY OF THE NETWORK	BUS
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	USER DATAGRAM PROTOCOL
MESSAGE	PUBLIC-KEY
MAIL SERVER	POST OFFICE PROTOCOL VERSION 3
STANDARD	INTERNET PROTOCOL
ENCODED INFORMATION	ENCRYPTION
STAR NETWORK	ROUTER
CLIENT	SPYWARE
BROWSER	CLIENT
COMPUTER	VIRTUAL COMPUTER
DOTTED DECIMAL NOTATION	INTERNET PROTOCOL ADDRESS
DIGITAL TECHNOLOGY	FIBER OPTICS
POLICY	MULTIPLE ACCESS WITH COLLISION AVOIDANCE
TECHNOLOGY	ANYCAST
BROWSER	HYPERTEXT MARKUP LANGUAGE
NETWORK LAYER	IPV4
ACCESS POINT	ROUTER
SERVER PROCESS	REMOTE MAIL SERVER PROCESS
CLIENT/SERVER MODEL	SERVER
INTERNET	INTERNET SERVICE PROVIDER
COMMON GATEWAY INTERFACE	SERVLET
NETWORK	FILE TRANSFER PROTOCOL
INTERPROCESS COMMUNICATION	P2P
STANDARD	OPEN SYSTEM INTERCONNECTION ( OSI ) REFERENCE MODEL
HOST	4G
CLIENT	CLIENT SIDE
NETWORKING TECHNOLOGY	ANYCAST
INTERNET PROTOCOL	INTERNET PROTOCOL ADDRESS
BUS	BUS NETWORK
WORLD WIDE WEB	WORLD WIDE SYNTACTIC WEB
SERVER	ADDRESS TRANSLATION SERVICE
NOTATIONAL SYSTEM	MARKUP LANGUAGE
PHONE TECHNOLOGY	SMARTPHONES
CLIENT SIDE	INTERNET PROTOCOL
SERVER PROCESS	WORLD WIDE WEB
COMPUTER NETWORK	INTERNET
MESSAGE	ELECTRONIC COMMUNICATION
ENCRYPTION	DECRYPT
SNIFF SOFTWARE	SNIFF
HYPERTEXT MARKUP LANGUAGE	MARKUP LANGUAGE
WIFI NETWORK	GATEWAY
INFORMATION	ENCRYPTION
DOMAIN	SUBDOMAINS
CLOUD	VIRTUAL COMPUTER
SPYWARE	ANTIVIRUS SOFTWARE
ACCESS POINT	INTERNET ACCESS
EMAIL	REMOTE MAIL SERVER PROCESS
SIMPLE MAIL TRANSFER PROTOCOL	SENDING SERVER
HYPERTEXT DOCUMENT	WEBSERVER
PROTOCOL	SIMPLE MAIL TRANSFER PROTOCOL
COLLISION AVOIDANCE	ACCESS POINT
USER DATAGRAM PROTOCOL	UNRELIABLE PROTOCOL
PRIVACY	COMMUNICATION ASSISTANCE FOR LAW ENFORCEMENT ACT
HYPERTEXT	HYPERTEXT TRANSFER PROTOCOL
NETWORK PROTOCOL	INTERNET MAIL ACCESS PROTOCOL
SPECIAL SYMBOL	TAG
PROTOCOL	WORLD WIDE WEB CONSORTIUM
PROGRAM	INTERNET APPLICATIONS
FOUR-LEVEL HIERARCHY	OPEN SYSTEM INTERCONNECTION ( OSI ) REFERENCE MODEL
DOMAIN NAME	DOMAIN NAME SYSTEM LOOKUP
MESSAGE	NETWORK SOFTWARE
SECURE VERSION	HTTPS
DISTRIBUTED SYSTEM	CLOUD COMPUTING
SOFTWARE	TRANSPORT LAYER
INTERNET	DOMAIN NAME
COMPUTER	METROPOLITAN AREA NETWORK
GATEWAY	EARLIER GENERATION OF WIRELESS PHONE
SIMPLE MAIL TRANSFER PROTOCOL	POST OFFICE PROTOCOL VERSION 3
NETWORK	NETWORK PROTOCOL
MALICIOUS SOFTWARE	FIREWALL
NETWORK	CLIENT/SERVER MODEL
MARKUP LANGUAGE	SEMANTIC-ORIENTED TAG
MESSAGE	REPEATER
DIRECTORY SYSTEM	NAME SERVER
ACCESS POINT	ACCESS INTERNET SERVICE PROVIDER
HYPERTEXT DOCUMENT	WORLD WIDE WEB
MACHINE	CLIENT
ROUTER	GATEWAY
HOST	SIMPLE MAIL TRANSFER PROTOCOL
WIFI TECHNOLOGY	WIRELESS CONNECTION
BUS	HUB
INTERNET SERVICE PROVIDER	TIER-3 INTERNET SERVICE PROVIDER
NETWORK	INTERNET SERVICE PROVIDER
BYTE	BIT PATTERN
INTERNET	INTERNET MULTIMEDIA STREAMING
SERVER	COMMON GATEWAY INTERFACE
DIRECTORY SYSTEM	DOMAIN NAME SYSTEM
PUBLIC-KEY	CERTIFICATE
BUS NETWORK	BRIDGE
SEARCH ENGINE	SERVER-SIDE ACTIVITY
PROTOCOL	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK
FILE TRANSFER PROTOCOL	FILE TRANSFER PROTOCOL PROXY SERVER
ETHERNET	ETHERNET NETWORK
ROUTER	ADDRESS
COMPUTER NETWORK	METROPOLITAN AREA NETWORK
TROJAN HORSE	SPAM
SOFTWARE	PROXY SERVER
DISTRIBUTED SYSTEM	CONTENT DELIVERY NETWORK
PROTOCOL	FILE TRANSFER PROTOCOL
INTERNET SOFTWARE	NETWORK LAYER
CLIENT/SERVER MODEL	FILE SERVER
ENCRYPTION	PUBLIC-KEY ENCRYPTION SYSTEM
INTERNET	CERTIFICATE
